startphrase,ending1,ending2,labels
دلش مثل باغچه‌ای است که گل‌هایش خشکیده‌اند.,او بسیار غمگین و افسرده است.,او بسیار خوشحال و سرزنده است.,0
دلش مثل باغچه‌‌ای است،‌ که گل‌های ریز قرمز در آن روییده‌اند.,او بسیار غمگین و افسرده است.,او بسیار خوشحال و سرزنده است.,1
آوایش مثل لالایی مادران در شب‌های سرد زمستانی‌ است.,آوایش آرامش‌بخش و گرم است.,آوایش خشن و ترسناک است.,0
آوایش مثل صدای یک غول بی‌شاخ و دم است.,آوایش آرامش‌بخش و گرم است.,آوایش خشن و ترسناک است.,1
زندگی‌اش مثل قصه‌های هزار و یک شب است.,زندگی‌اش پر از ماجراهای گفتنی و شگفتی است.,زندگی‌اش ساده و بدون ماجرا است.,0
زندگی‌اش مثل یک داستان کوتاه ناتمام است.,زندگی‌اش پر از ماجراهای گفتنی و شگفتی است.,زندگی‌اش ساده و بدون ماجرا است.,1
فریادش مثل صدای طبل در میدان جنگ است.,فریادش بلند و ترسناک است.,فریادش آرام و ضعیف است.,0
فریادش مثل ناله‌ای است که از ته چاه می‌آید.,فریادش بلند و ترسناک است.,فریادش آرام و ضعیف است.,1
افکارش مثل یک پازل پیچیده‌ای است که به‌سختی حل می‌شود.,افکارش بسیار پیچیده و دشوار برای فهمیدن است.,افکارش بسیار ساده و واضح است.,0
افکارش مثل یک کتاب داستان بچگانه است.,افکارش بسیار پیچیده و دشوار برای فهمیدن است.,افکارش بسیار ساده و واضح است.,1
سخنانش مانند یک دیکتاتور در روزهای پایانی حکومتش است.,سخنانش بی‌ارزش و تکراری است.,سخنانش پر از حکمت و دلنشین است.,0
سخنانش مانند اشعار حافظ در شب یلدا به گوش رسیده و بر دل می‌نشیند.,سخنانش بی‌ارزش و تکراری است.,سخنانش پر از حکمت و دلنشین است.,1
خاطراتش مثل بخار آب، در هوا محو می‌شوند.,خاطراتش به سرعت فراموش می‌شوند.,خاطراتش همیشه زنده می‌مانند و فراموش نخواهند شد.,0
خاطراتش مثل یک داستان بلند در مغزش حک شده‌اند.,خاطراتش به سرعت فراموش می‌شوند.,خاطراتش همیشه زنده می‌مانند و فراموش نخواهند شد.,1
صدای او مثل نسیم بهاری در گوش می‌پیچد.,صدای او بسیار آرامش‌بخش و دل‌نواز است.,صدای او بسیار خشن و ناخوشایند است.,0
صدای او مثل صدای اره برقی‌ است.,صدای او بسیار آرامش‌بخش و دل‌نواز است.,صدای او بسیار خشن و ناخوشایند است.,1
خانه‌اش همچون کاخ گلستان است.,خانه‌اش بسیار بزرگ و زیبا است.,خانه‌اش کوچک و محقر است.,0
خانه‌‌اش همچون یک دخمه‌ای در یزد است.,خانه‌اش بسیار بزرگ و زیبا است.,خانه‌اش کوچک و محقر است.,1
او مثل قاصدکی در باد است.,او بسیار آزاد و بی‌قید است.,او بسیار محدود و مقید است.,0
او مثل مرغی در قفس است.,او بسیار آزاد و بی‌قید است.,او بسیار محدود و مقید است.,1
امیدش همچو چشمه‌ای خشکیده است.,امیدش از دست رفته است و دیگر برایش امیدی باقی نمانده است.,به آینده بسیار امیدوار است.,0
امیدش همچو چشمه‌‌ای خروشان است.,امیدش از دست رفته است و دیگر برایش امیدی باقی نمانده است.,به آینده بسیار امیدوار است.,1
او مثل فانوس دریایی در شب طوفانی است.,او نجات‌دهنده‌ای در شرایط سخت است.,او در مواقع بحرانی بی‌تأثیر و بی‌فایده است.,0
او مثل یک پنکه قدیمی خراب در دل تابستان است.,او نجات‌دهنده‌ای در شرایط سخت است.,او در مواقع بحرانی بی‌تأثیر و بی‌فایده است.,1
هم‌نشینی با او، همچون تجربه‌ی روزهای تابستان در کودکی است.,هم‌نشینی با او شادی‌آور و لذت‌بخش است.,هم‌نشینی با او سخت و طاقت‌فرسا است.,0
هم‌نشینی با او، همچون حضور در جلسات طولانی اداری است.,هم‌نشینی با او شادی‌آور و لذت‌بخش است.,هم‌نشینی با او سخت و طاقت‌فرسا است.,1
قلمش مثل شمشیری بُرنده در دست جنگجویی شجاع است.,قلمش تیز و نافذ است.,قلمش کند و بی‌اثر است.,0
قلمش مثل یک چاقوی قدیمی است.,قلمش تیز و نافذ است.,قلمش کند و بی‌اثر است.,1
نوشته‌هایش به پیچیدگی رازهای هرم‌های باستانی در مصر است.,نوشته‌هایش عمیق و رمزآلود است.,نوشته‌هایش سطحی و بدون معنی خاصی است.,0
نوشته‌هایش به پیچیدگی سخنان یک کودک ۳ ساله است.,نوشته‌هایش عمیق و رمزآلود است.,نوشته‌هایش سطحی و بدون معنی خاصی است.,1
چشمانش مثل آسمان شب‌های کویر است.,چشمانش زیبا و پر از رمز و راز است.,چشمانش معمولی و بدون جذابیت است.,0
چشمانش مثل نقاشی یه هنرآموز تازه‌کار است.,چشمانش زیبا و پر از رمز و راز است.,چشمانش معمولی و بدون جذابیت است.,1
صدای او همچون نوای تار شهناز است.,صدای او بسیار دلنشین و زیباست.,صدای او بسیار آزاردهنده و ناملایم است.,0
