Unnamed: 0,startphrase,ending1,ending2,labels
139,Chumba kina nafasi kubwa kama shamba,Chumba kina nafasi kubwa iliyobaki,Chumba kina nafasi ndogo iliyobaki,0
468,msanii yule si kasuku,anaiga sauti fulani,hafuati sauti yoyote,1
808,Mtoto wa Maria ni Kichwa Maji darasani,Mtoto wa Maria haelewi kitu darasani,Mtoto wa Maria ni Mwerevu darasani,0
497,askari wetu walikuwa simba vitani,walikuwa wakali sana,walikuwa ovyo,0
109,Aliahidi kuwa atachangia kisha akaingia mitini.,Aliahidi kuwa atachangia halafu hakuchanga,Aliahidi kuwa atachangia na akachanga,0
300,Yeye ni malaika,Yuko na roho mbaya,Yuko na roho ya utu,1
416,yeye si maziwa ya kuku,ameadimika sana,anapatikana kwa urahisi,1
382,upendo si jeuri,upendo hauna chaguo,upendo uko na chaguo,1
544,Kitabu hiki ni yai bovu.,Kitabu hiki ni kizuri.,Kitabu hiki ni kibaya.,1
461,gunia lile la makaa ni nanga,ni zito sana,ni nyepesi sana,0
513,Mgeni huyo ni kama jua la kutua.,Mgeni alitarajiwa kuja.,Mgeni alikuja ghafla.,0
573,Mwanasoka yule ni nyota.,Yule amekamilika.,Yule sio kamili.,0
459,dawa ile ya tumbo ni shubri,ni chungu sana,ni tamu,0
868,Jirani yangu ni shetani,Jirani yangu ni mkatili na mouvu,Jirani yangu ni mkarimu na mwenye upendo,0
1078,Mshindi wa Lotto ni tajiri kama rais,Mshindi wa Lotto ni tajiri hadi wa leo,Mshindi wa Lotto ashakuwa maskini,0
904,Maswali hayo yalikuwa mboga,Maswali hayo yalikuwa rahisi,Maswali hayo yalikuwa magumu mno,0
1033,Alivalia rinda jeupe kama makaa siku yake ya kubatizwa,"Siku yake ya kubatizwa, alivalia rinda jeupe",Hakuvalia rinda jeusi siku yake ya kubatizwa,1
985,Safari yake ilikuwa ndefu kama unywele,Safari yake ilikuwa ndefu mno,Safari yake haikuwa ndefu,1
1024,Onyango ni kipaza sauti,Onyango anapenda kupayuka maneno yasiyomhusu,Onyango huweka siri za wengine kwa moyo,0
369,mito ya uchungu ilimtirirka,alibubujikwa na machozi mengi,alibubujikwa na machozi ya furaha,0
796,Yeye ni Samsoni.,Yeye ni mwenye nguvu.,Yeye ni dhaifu.,0
660,Ngozi yake ni mawe,Ngozi yake ni laini.,Ngozi yake ni ngumu.,1
566,Somo la hesabu ni usiku wa giza.,Somo hilo linaeleweka.,Somo hilo halieleweki.,1
832,Dawa za hospitali ya Nairobi ni chungu kama shubiri,Dawa za hospitali ya Nairobi ni kali mno,Dawa za hospitali ya Nairobi ni tamu,0
743,Ilikuwa kama ndoto ya mama ya mtoto wake.,Ilikuwa zabuni.,Ilikuwa ngumu.,0
612,Kiti hiki ni mtoto wa paka.,Kiti hiki kina nguvu.,Kiti hiki ni dhaifu.,1
1029,Alipata ukumbi umejaa kama jangwa,Alichelewa akapata ukumbi umejaa,ALifika mapema akakosa mtu ukumbini,1
293,Juma ana sikio la mbuzi,Alikuwa hasikii anachoambiwa,Alikuwa akisikia anachoambiwa,0
284,Sauti yake ni kama chura,Sauti yake ni nyororo,Sauti yake si nyororo,1
450,amekuwa mkizi baada ya kufeli mtihani,ana furaha nyingi,ana hasira tele,1
690,Sehemu la kupalilia lilkuwa tundu la sindano.,Sehemu la kupalilia lilikuwa kubwa.,Sehemu la kupalilia lilikuwa ndogo.,1
907,Macho ya kijana huyo yalikuwa mekundu kama maziwa,Macho ya kijana huyo yalikuwa mekundu,Macho ya kijana huyo hayakuwa mekundu,1
160,Aliruka juu kama kobe,Mrukaji aliruka juu sana,Mrukaji hakuruka juu sana,1
593,Chai hii ni baridi kama kifo.,Chai hii ni baridi sana.,Chai hii ni moto sana.,0
149,Pesa ni sabuni ya roho.,Pesa ni nzuri,pesa ni mbaya,0
539,Mtoto wake ni Musa.,Mtoto wake ni mtiifu.,Mtoto wake ni mkaidi.,0
91,Mvua ilimiminika kwa fujo,Mvua ilinyesha kwa wingi,Mvua haikunyesha kwa wingi,0
117,Yule ana damu nyeusi,Kijana ana roho mbaya,Kijana ana roho nzuri,0
745,Msichana yule ni Daudi.,Msichana yule amebarikiwa.,Msichana yule amelaaniwa.,0
333,Hiki chumba ni jela,ina maana kuwa chumba kina upweke,chumbani kuna furaha,0
701,Filamu hii ni kama waridi.,Filamu hii ni nzuri.,Filamu hii ni mbaya.,0
412,mapigo hayo ni duni,mapigo hayo ni mengi,mapigo hayo ni machache,1
78,Maisha yake yote ni kama miiba.,Maisha yake yote amekua akipata maumivu sana,Maisha yake yote hajawahi pata maumivu,0
526,Mwanariadha yule ni kobe,Mwanariadha yule ana mbio sana.,Mwanariadha yule anakimbia polepole sana.,1
59,"Aisha, endelea tu kupiga mdomo","Aisha, funga mdomo wako","Aisha, endelea tu kuongea sana",1
444,yule mama si chiriku,anaongea sana,ni mtulivu,1
492,maisha si barabara kuu,maisha ni mapana,maisha ni mafupi,1
