Unnamed: 0,startphrase,ending1,ending2,labels
483,उसकी सोच में संतों की सिखलाई है।,उसकी सोच लालच से भरी हुई है। ,उसकी सोच में सब के लिए समानता है। ,1
718,उसके परिवार के ऊपर काले बादल मंडरा रहे हैं। ,उसके परिवार पर बहुत दुःख हैं। ,उसका परिवार बहुत सुखी हैं। ,0
204,वह आदमी खच्चर जैसा जिद्दी है।,उसका निर्णय बदलना मुश्किल है। ,उसका निर्णय बदलना इतना मुश्किल नहीं है।,0
332,वह आंधी में पेड़ से विशाल टहनी की तरह टूट गई।,वह मुश्किलों से बहुत देर तक लड़ी। ,वह मुश्किलों से बहुत जल्दी हार गई। ,0
851,बैंक में कुँए जितना पैसा भी नहीं है। ,बैंक में बिलकुल पैसा नहीं है। ,बैंक में बहुत कम पैसा है। ,1
549,कुछ लोग कोयल की तरह बात करते हैं। ,कुछ लोग बड़ी बेवकूफी भरी बात करते हैं। ,कुछ लोग बड़ी अच्छी तरह बात करते हैं। ,1
343,कीचड़ की तरह लग रहे हो। ,बहुत सूंदर लग रहे हो। ,बहुत बदसूरत लग रहे हो। ,1
424,उस अजनबी से हाथ मिलाना गर्म रजाई के जैसा लगा।,वह अजनबी एक दोस्त की तरह लगा। ,वह अजनबी एक दुश्मन की तरह लगा। ,0
215,वह सुअर की तरह खाती है। ,वह बहुत कम खाना खाती है। ,वह बहुत ज्यादा खाना खाती है।,1
983,तुम्हारी अमीरी मेरे टुकड़ों पर चल रही है। ,तुम मेरी वजह से गरीब हो। ,तुम मेरी वजह से अमीर हो। ,1
937,उसने सबको वड़े की तरह कपड़ा दिया। ,उसने सबको अच्छा कपड़ा दिया। ,उसने कपड़े में छेद था। ,1
815,उसकी मुस्कान जोकर सी है। ,उसकी मुस्कान खतरनाक है। ,उसकी मुस्कान प्यारी है। ,1
411,मजदूर घड़ी की टिक टिक की तरह काम करते हैं। ,मजदूर बहुत तेजी से काम करते हैं। ,मजदूर धीरे धीरे काम करते हैं। ,1
844,वह व्हेल सी विशाल है। ,वह बहुत बड़ी थी। ,वह बहुत छोड़ी थी। ,0
552,रमेश अपनी पत्नी को उँगलियों पर रखता है।,रमेश अपनी का बिलकुल ख्याल नहीं रखता है। ,रमेश अपनी का बहुत ख्याल रखता है। ,0
207,अपने दोस्तों को कब्र की तरह खामोश देख वो समझ गया कुछ गड़बड़ है। ,उसके दोस्त कुछ शैतानी प्लान बना रहे थे।,उसके दोस्त बहुत गंभीर सोच में दुबे थे। ,1
459,मेरा घर चिड़िया के घोंसले के समान है।,मैं दुसरो की कमाई से जीता हूँ। ,मैं अपने परिश्रम की कमाई से जीता हूँ।,1
793,तुम स्टील के घड़े से हो।,तुम बहुत कमजोर हो। ,तुम बहुत मजबूत हो। ,1
915,उसकी रिश्तेदारी शीशे की तरह मजबूत है। ,उसकी रिश्तेदारी बहुत मजबूत है। ,उसकी रिश्तेदारी बहुत कमजोर है। ,1
971,रोहन का लेखअंतरिक्ष की तरह याद रहेगा। ,रोहन का लेख कुछ समय बाद लोग भूल जायेंगे। ,रोहन का लेख हमेशा लोगों को याद रहेगा।  ,1
203,उस फिल्म में चिड़ियाघर सा हास्य है।,फिल्म में नकरात्मक सोच दिखाई गई है।,फिल्म मेंसकरात्मक सोच दिखाई गई है।,1
329,उसके दांत मोतियों जैसे सफेद थे।,उसके दांत साफ़ नहीं थे।,उसके दांत साफ़ थे।,1
224,स्विमिंग जंगली पगडंडी की तरह सीखी जा सकती है। ,स्विमिंग बहुत मुश्किल है। ,स्विमिंग बहुत आसान है। ,0
897,शर्मीला जेल के जेलर की तरह कुत्तों को खिला रही थी। ,शर्मीला बड़े प्यार से कुत्तों को खिला रही थी। ,शर्मीला बड़े गुस्से से कुत्तों को खिला रही थी। ,1
886,नॉवेल सा पतला है वो। ,वह बहुत छोटा नहीं है। ,वह बहुत छोटा है। ,0
119,इससे नाले के पास की गंदी महक आ रही है। ,यह बहुत खुशबूदार है। ,यह बहुत बदबूदार है। ,1
751,उसने हलवाई की तरह बात समझाई। ,उसकी बात समझ आ गई। ,उसकी बात समझ नहीं आई। ,1
397,स्नेहा बिलकुल गुलाब की पंखुड़ी की तरह लग रही थी। ,स्नेहा बिलकुल भी सुन्दर नहीं लग रही थी। ,स्नेहा बहुत सुन्दर लग रही थी। ,1
400,राहुल अपने घर का नजरबट्टू है। ,राहुल किसी काम का नहीं है। ,राहुल अपने घर की शान है।  ,0
113,कुत्ता एक नर्सरी शिक्षक की तरह क्रोधित था। ,वह बहुत गुस्से में था। ,वह बहुत अच्छा था। ,1
624,बादलों सा ऊँचा उठो। ,खूब तरक्की करो। ,थोड़ी तो तरक्की करो। ,0
895,वह शिमलामिर्च की तरह मशहूर था। ,सब उसे पसंद करते थे। ,उसे कुछ लोग बहुत पसंद करते थे। ,1
235,पुलिस इंस्पेक्टर गाय की तरह शरीफ थी। ,पुलिस इंस्पेक्टर रिश्वतखोर था।,पुलिस इंस्पेक्टर रिश्वतखोर नहीं था।,1
267,राधा डिबेट में खम्बे की तरह हो गयी। ,राधा डिबेट में बहुत अच्छे से बोली।,राधा डिबेट में कुछ भी ना बोल सकी।,1
458,मेरा घर मुग़लों के महलों के समान है।,मैं दुसरो की कमाई से जीता हूँ। ,मैं अपने परिश्रम की कमाई से जीता हूँ। ,0
848,छोटे बच्चे गुलाब की पत्तियों से कोमल होते हैं। ,छोटे बच्चे बहुत मासूम होते हैं। ,छोटे बच्चे बहुत शैतान होते हैं। ,0
757,मेले में नूडल्स सा आनंद था। ,मेला बहुत मजेदार था। ,मेला मजेदार मगर बहुत फैला हुआ था।  ,1
750,उसने टीचर की तरह बात समझाई। ,उसकी बात समझ आ गई। ,उसकी बात समझ नहीं आई। ,0
490,फूल तलाकशुदा जोड़े की तरह कोमल थे।,फुल मुरझाये हुए और पुराने थे। ,फुल खिले हुए और ताजा थे। ,0
208,यह शाल बोरी की तरह हलकी है। ,यह शाल बहुत पतले धागे से बानी है। ,यह शाल बहुत मोटे धागे से बानी है। ,0
