Unnamed: 0,startphrase,ending1,ending2,labels
1058,Ucapan Rangga membakar semangat .,ucapan Rangga memberikan semangat .,ucapan Rangga menyakiti hati .,0
80,Dia berlagak seperti cucu yang punya jalan.,Dia bersikap seenaknya.,Dia bersikap hati-hati.,0
95,Langitnya tampak seperti wajah anak kecil yang kalah dalam permainan.,Cuacanya cerah.,Cuacanya mendung.,1
780,Peserta debat itu memiliki pendirian seperti tembok yang kokoh.,Peserta debat itu memiliki pendirian yang teguh.,Peserta debat itu memiliki pendirian yang plin-plan.,0
939,Waktu yang kuhabiskan untuk menunggu barang ini datang adalah satu kedipan mata.,Waktu yang kuhabiskan untuk menunggu barang ini sangat lama.,Waktu yang kuhabiskan untuk menunggu barang ini sangat cepat.,1
189,Bau badannya sudah seperti bau bunga.,Badannya bau.,Badannya harum.,1
424,Pekerjaannya seolah anak kecil yang dibebaskan di taman bermain.,Pekerjaannya sangat menyenangkan.,Pekerjaannya sangat membosankan.,0
225,Indonesia memiliki banyak destinasi wisata yang sudah terjamah.,Banyak destinasi wisata di Indonesia yang masih alami.,Banyak destinasi wisata di Indonesia yang sudah terekspos.,1
117,Cat rumahnya seputih arang.,Cat rumah putih sekali.,Cat rumah hitam sekali.,1
864,Mengejar cita-cita ibarat mendaki gunung Everest.,Mengejar cita-cita sulit.,Mengejar cita-cita mudah.,0
745,Dia adalah sampah masyarakat di desanya.,Dia adalah orang yang memiliki pengaruh di desanya.,Dia adalah orang yang tidak berguna di desanya.,1
240,Sepak bola bagi masyarakat Indonesia bagaikan agama yang harus dipertahankan mati-matian.,Sepak bola adalah hal yang serius bagi masyarakat Indonesia.,Sepak bola adalah hal yang biasa saja bagi masyarakat Indonesia.,0
1118,Bila seperti tanaman putri malu .,Bila seorang pemalu .,Bila seorang pemberani .,0
109,Layaknya pasangan yang tengah berbulan madu perasaanku bekerja di kantor ini.,Bekerja di kantor tersebut seperti terasa serba lama.,Bekerja di kantor tersebut seperti terasa serba baru.,1
466,Hari ini dia dapat rezeki bak durian runtuh.,Hari ini dia dapat rezeki sangat banyak.,Hari ini dia dapat rezeki sangat sedikit.,0
1096,Telapak kakinya seperti kaki gajah.,Telapak kakinya besar.,Telapak kakinya kecil.,0
238,Minum kopi saat senja itu seperti Adam yang pada akhirnya bisa bertemu lagi dengan Hawa setelah sekian lama.,Minum kopi saat senja itu rasanya melegakan.,Minum kopi saat senja itu rasanya membawa penyesalan.,0
1029,Pacar kakakku ibarat buah yang sudah tidak layak dipetik.,Pacar kakakku terlalu muda.,Pacar kakakku terlalu tua.,1
509,"Akibat ucapan orang tuanya, hatinya seperti api yang disiram minyak.","Akibat ucapan orang tuanya, hatinya luluh.","Akibat ucapan orang tuanya, hatinya marah.",1
936,Potongan rambutmu bak putri-putri di film Disney.,Potongan rambutmu indah dan cantik.,Potongan rambutmu jelek dan berantakan.,0
739,Pria itu membawa tas sebesar upil.,tasnya besar.,tasnya kecil.,1
539,Proposalnya dapat lampu merah.,Proposalnya dapat persetujuan.,Proposalnya dapat penolakan.,1
300,Perpisahan adalah luka dalam yang terus membekas dalam ingatan.,Perpisahan adalah hal yang menyakitkan.,Perpisahan adalah hal yang menyenangkan.,0
563,Bapak itu terlihat seperti tinggal di kosan seorang diri.,Bapak itu terlihat gemuk.,Bapak itu terlihat kurus.,1
369,Mengapa wajahmu cerah?.,Mengapa kamu sedih?.,Mengapa kamu bahagia?.,1
520,Ingatan ayahnya seperti besi berkarat.,Ingatan ayahnya buram.,Ingatan ayahnya jelas.,0
1016,Skincare yang dia pakai seharga satu buah mobil.,Skincare yang dia pakai mahal.,Skincare yang dia pakai murah.,0
620,Dia menari seperti finalis Indonesia's Got Talent.,Dia menari dengan luwes.,Dia menari dengan kaku.,0
361,Indonesia itu ibarat perisai bagi wisatawan mancanegara.,Indonesia itu menarik wisatawan dari luar negeri.,Indonesia itu menolak wisatawan dari luar negeri.,1
950,Dia kini sudah sebesar kingkong.,Dia kini tubuhnya besar.,Dia kini tubuhnya kecil.,0
449,Rapornya penuh dengan tinta hitam.,Rapornya penuh nilai jelek.,Rapornya penuh nilai bagus.,1
1036,Rasa obat ini bak air rebusan sereh.,Rasa obat ini pahit.,Rasa obat ini manis.,0
459,Jurnal akademisnya seperti pisau tumpul.,Jurnal akademisnya kuat argumennya.,Jurnal akademisnya lemah argumennya.,1
132,"Ibarat tinggal di neraka, semenjak ayah menikah lagi.","Setelah ayah menikah lagi, kehidupan semakin buruk.","Setelah ayah menikah lagi, kehidupan sangat indah.",0
824,Pedagang itu bagai terjatuh kemudian tertimpa tangga.,Pedagang itu rugi.,Pedagang itu untung.,0
325,Berbelanja bagi sebagian besar perempuan itu seperti masuk neraka dengan bara api yang berkobar menakutkan.,Berbelanja bagi sebagian besar perempuan itu seperti menyenangkan.,Berbelanja bagi sebagian besar perempuan itu seperti mengerikan.,1
802,"Jika bertemu kekasihnya, wajahnya seperti bunga yang baru mekar di taman.","Jika bertemu kekasihnya, wajahnya senang.","Jika bertemu kekasihnya, wajahnya sedih.",0
299,Program pemerintah Bantuan Langsung Tunai itu ibarat memberi kail kepada rakyat.,Program Bantuan Langsung Tunai dari pemerintah ini dianggap percuma.,Program Bantuan Langsung Tunai dari pemerintah ini dianggap berguna.,1
385,Menjaga integritas saat bekerja di perusahaan itu ibarat rebahan sambil minum es teh di pinggir pantai.,Menjaga integritas saat bekerja di perusahaan itu ibarat sulit sekali.,Menjaga integritas saat bekerja di perusahaan itu ibarat mudah sekali.,1
1074,Sepatu Dino tampak seperti baru dicuci .,Sepatu Dino terihat bersiih.,Sepatu Dino terihat kotor.,0
78,Pendiriannya bagai tak bisa digoyangkan angin.,Dia berpendirian teguh.,Dia tidak punya pendirian.,0
113,"Bagaikan kacang lupa kulitnya, semenjak dia pindah ke negeri orang.",Di luar negeri dia selalu merindu tanah air.,Di luar negeri dia lupa dengan tanah airnya.,1
738,Pria itu membawa tas sebesar patung Pancoran.,tasnya besar.,tasnya kecil.,0
817,Rinduku padamu bagai air di timba.,Rinduku padamu banyak.,Rinduku padamu sedikit.,1
149,Wajahku dan adikku ibarat pinang di belah dua.,Wajah adik kakak yang sangat berbeda.,Wajah adik kakak yang sangat mirip.,1
100,Nilai matematikanya setinggi mata kaki.,Nilai matematikanya jelek.,Nilai matematikanya bagus.,0
764,"Sewaktu kecil, rambut Fani seperti Dora.","Sewaktu kecil, rambut Fani pendek.","Sewaktu kecil, rambut Fani panjang.",0
552,Tulisan tangannya bagaikan milik dokter.,Tulisan tangannya berantakan.,Tulisan tangannya rapi.,0
1139,tampangnya seperti Hello Kitty .,tampangnya garang.,tampangnya halus.,1
1120,Kasur ini empuk sekali seperti tidur di lantai .,Kasur ini keras .,Kasur ini empuk .,0
88,"Baginya, bersosialisasi itu seperti menaiki ratusan anak tangga.",Bersosialisasi itu melelahkan.,Bersosialisasi itu menyenangkan.,0
334,Mertua dan menantu di Indonesia itu bagaikan cerita rakyat Bawang Merah & Bawang Putih.,Mertua dan menantu di Indonesia itu kontradiktif.,Mertua dan menantu di Indonesia itu harmonis.,0
222,"Ketika Geisha menyanyi, dia seolah membius semua penonton.",Nyanyian Geisha memukau bagi penonton.,Nyanyian Geisha menjijikkan bagi penonton.,0
48,"Menurutnya, merantau adalah petualangan mencari jati diri.","Menurutnya, merantau itu mendebarkan.","Menurutnya, merantau itu menyesakkan.",0
776,Kakak beradik itu seperti kucing dan tikus.,Kakak beradik itu suka bertengkar.,Kakak beradik itu rukun.,0
866,"Membeli mobil, namun tidak memakainya bak menyapu pasir di pantai.","Membeli mobil, namun tidak memakainya sia-sia.","Membeli mobil, namun tidak memakainya berguna.",0
422,Pastikan kamu mau hajar kanan untuk memastikan keuntunganmu bermain saham.,Pastikan kamu mau beli dengan harga tertinggi untuk memastikan keuntunganmu bermain saham.,Pastikan kamu mau jual dengan harga terendah untuk memastikan keuntunganmu bermain saham.,0
983,Harapan orang tuaku setinggi lutut kurcaci Putri Salju.,Harapan orang tuaku tinggi.,Harapan orang tuaku rendah.,1
447,Orang-orang menganggap kehadirannya di sekolah seperti orang pesakitan.,Orang-orang menganggap kehadirannya di sekolah dengan kagum.,Orang-orang menganggap kehadirannya di sekolah dengan jijik.,1
347,Cara berpikirmu seperti lulusan sarjana hebat.,Cara berpikirmu buruk.,Cara berpikirmu baik.,1
830,Kasur ini bagai beton.,Kasur ini keras.,Kasur ini empuk.,0
513,Dokumen yang dia berikan seperti hasil pekerjaan pemenang Nobel.,Dokumen yang dia berikan buruk.,Dokumen yang dia berikan bagus.,1
678,"Mendengar penjelasan itu, ia seperti anak TK yang diajari persamaan trigonometri.",Ia tidak bisa memahami penjelasan yang diberikan.,Ia dengan mudah mengerti penjelasan yang diberikan.,0
1039,Baju yang kamu kenakan ibarat ibu-ibu menggunakan baju anaknya yang masih berusia 5 tahun.,Baju yang kamu kenakan kebesaran.,Baju yang kamu kenakan kekecilan.,1
1022,Adit diperlakukan seperti anak emas.,Adit disayang.,Adit tidak disayang.,0
594,Hasil pertandingan hari ini membuatku merasa seperti menumpahkan sepiring mi goreng yang belum aku makan.,Hasil pertandingan hari ini membuatku merasa kecewa.,Hasil pertandingan hari ini membuatku merasa puas.,0
759,Suhu badannya seperti es.,Suhu badannya Panas.,Suhu badannya dingin.,1
880,Sudah seminggu ini kampung halamanku bagai Puncak di akhir pekan.,Sudah seminggu ini kampung halamanku ramai.,Sudah seminggu ini kampung halamanku sepi.,0
1130,Ia minum seperti burung .,Ia minum sedikit .,Ia minum banyak .,0
91,Bermain media sosial bagai mengikuti kuliah 1 SKS.,Bermain media sosial adalah kegiatan yang sia-sia.,Bermain media sosial adalah kegiatan yang bermanfaat.,1
984,Perasaan ini sepertinya sudah sedalam palung Mariana.,Perasaan ini dalam.,Perasaan ini dangkal.,0
292,Kebakaran hutan kemarin sore bagai amukan Banaspati yang mengibaskan lidah panjangnya ke segala penjuru.,Kebakaran hutan kemarin sore terjadi dengan sangat berkobar-kobar.,Kebakaran hutan kemarin sore terjadi dengan sangat redup.,0
303,Rezeki setelah menikah itu bagaikan musim paceklik dan kemarau yang melanda desa.,Rezeki setelah menikah itu melimpah.,Rezeki setelah menikah itu berkekurangan.,1
387,Mengkritik pejabat adalah informasi penting untuk disimak dengan saksama.,Mengkritik pejabat dilarang.,Mengkritik pejabat dipersilakan.,1
445,Kecepatannya dalam menyerap materi seperti kancil yang berlari.,Kecepatannya dalam menyerap materi sangat lambat.,Kecepatannya dalam menyerap materi sangat cepat.,1
212,Guru memberikan materi seolah tidak ada hari esok.,Guru memberi materi sebanyak-banyaknya.,Guru memberi materi secukupnya.,0
705,Kerjasama dua perusahaan itu bagai lebah dan bunga.,Kerjasama mereka merugikan salah satu pihak.,Kerjasama mereka saling menguntungkan.,1
119,"Menurut mereka, aku hidup seperti inang.",Kehidupannya mewah sekali.,Kehidupannya kumuh sekali.,1
987,Ia belanja seolah-olah tidak membutuhkan apapun karena semua telah dimilikinya di rumah.,Ia belanja seperti orang kerasukan.,Ia belanja sesuai kebutuhan.,1
208,Kedelai itu dirawat petani layaknya anak sendiri.,Kedelai itu dirawat petani dengan sungguh-sungguh.,Kedelai itu dirawat petani dengan serampangan.,0
1038,Baju yang kamu kenakan ibarat anak bayi menggunakan baju anak SD.,Baju yang kamu kenakan kebesaran.,Baju yang kamu kenakan kekecilan.,0
951,Dia kini sudah sebesar tikus.,Dia kini tubuhnya besar.,Dia kini tubuhnya kecil.,1
832,Matanya seperti daun bambu.,Matanya sipit.,Matanya bulat.,0
1005,Hiduplah seperti kanebo kering.,Hidup harus fleksibel.,Hidup harus kaku.,1
285,Suwito bagaikan sampah di tumpukan berlian.,Suwito adalah orang yang bermartabat.,Suwito adalah orang yang urakan.,1
868,Tubuhku dulu sudah seperti tiang listrik.,Tubuhku dulu tinggi dan kurus.,Tubuhku dulu pendek.,0
204,Aku seperti umbi-umbian di mata atasan.,Aku tidak berharga bagi atasan.,Aku berharga bagi atasan.,0
283,Daniar itu anak orang kaya. Ia bertingkah seolah Puteri Kadita yang melepaskan kemewahan dan memilih bertapa di laut selatan Jawa.,Daniar anak orang kaya. Tingkahnya sombong.,Daniar anak orang kaya. Tingkahnya sederhana.,1
139,"Mendengar ucapannya, aku merasa seperti dibelai kekasih.",Ucapan yang menyakitkan.,Ucapan yang menyenangkan.,1
744,Dia adalah tokoh masyarakat di desanya.,Dia adalah orang yang memiliki pengaruh di desanya.,Dia adalah orang yang tidak berguna di desanya.,0
580,Dia menatapku seakan-akan aku belum mandi tiga hari.,Dia menatapku dengan jijik.,Dia menatapku dengan kagum.,0
3,Berbicara dengan Kinan seperti mengikuti kuliah kuliah dari dosen ternama.,Pengetahuannya kurang.,Pengetahuannya luas.,1
970,Lagu yang kau nyanyikan ibarat hujan rintik pengantar tidur.,Lagu yang kau nyanyikan merdu.,Lagu yang kau nyanyikan berisik dan mengganggu.,0
252,Kata-katanya saat mewawancarai narasumber seperti silet.,Kata-katanya saat mewawancarai narasumber sangat tajam sehingga membuat gugup narasumber.,Kata-katanya saat mewawancarai narasumber sangat biasa saja sehingga membuat narasumber tenang-tenang saja.,0
886,Kedatangannya adalah hujan di tengah gurun.,Kedatangannya berkah.,Kedatangannya musibah.,0
695,"Baginya, bekerja itu bagai berjalan di bara api.",Bekerja membuatnya senang.,Bekerja membuatnya menderita.,1
581,Dia menatapku seakan-akan aku pemenang Putri Indonesia.,Dia menatapku dengan jijik.,Dia menatapku dengan kagum.,1
964,Kasur hotel ini selembut hamparan kapas dan kain sutra.,Kasur hotel ini empuk dan lembut.,Kasur hotel ini keras sekali.,0
896,Kesabaranmu bagaikan jalur kereta api Anyer-Panarukan.,Kesabaranmu panjang.,Kesabaranmu pendek.,0
474,Cuaca kota ini seperti surga.,Cuaca kota ini sejuk.,Cuaca kota ini panas.,0
626,Dia bekerja seakan-akan dia digaji ratusan juta per bulan.,Dia bekerja dengan upaya yang maksimal.,Dia bekerja dengan asal-asalan.,0
683,Omongannya sepedas saus tomat.,Omongannya sangat pedas.,Omongannya tidak pedas.,1
59,Rumahnya seluas jalan tikus.,Rumahnya luas.,Rumahnya sempit.,1
584,"Bagiku, makanan ini terasa seperti dibuat oleh pemenang Masterchef .","Bagiku, makanan ini terasa lezat.","Bagiku, makanan ini terasa tidak enak.",0
336,Bahagia itu adalah ketika kita dapat uang kaget 100 Milyar Rupiah tanpa harus dipotong pajak.,Bahagia itu bersifat material.,Bahagia itu bersifat nonmaterial.,0
99,Hubungannya dengan sang kakak seperti lem dan perangko.,Dia dan kakaknya sering bertengkar.,Dia dan kakaknya sangat dekat.,1
396,"Sedangkan, ayah saya adalah pahlawan yang bertugas menyelamatkan dunia.","Sedangkan, ayah adalah sosok yang hebat.","Sedangkan, ayah adalah sosok yang pengacau.",0
972,Gaun pengantin yang ia kenakan bak gaun malaikat yang terbuat dari ratusan benang surga.,Gaun pengantin yang ia kenakan indah dan cantik.,Gaun pengantin yang ia kenakan jelek.,0
519,"Melihat kejadian tersebut, wajahnya seperti mayat.","Melihat kejadian tersebut, wajahnya merona.","Melihat kejadian tersebut, wajahnya pucat pasi.",1
1094,Kisah cinta kami seperti tanaman edelweis.,Kisah cinta kami abadi.,Kisah cinta kami sementara.,0
842,Mengambil pendidikan S3 ibarat berlari di atas hamparan beling.,Mengambil pendidikan S3 menderita.,Mengambil pendidikan S3 menyenangkan.,0
1049,Ucapan perempuan itu menenangkan hati .,ucapan perempuan itu menyakitkan .,ucapan perempuan itu menyenangkan .,1
377,Imbal hasil yang dicatatkan oleh reksadana pasar uang itu ibarat tekanan darah setelah makan mentimum 1 kg.,Imbal hasil yang dicatatkan oleh reksadana pasar uang itu naik secara drastis.,Imbal hasil yang dicatatkan oleh reksadana pasar uang itu jatuh secara drastis.,1
905,Pernikahan adalah air liur anjing.,Pernikahan itu suci.,Pernikahan itu profan.,1
317,"Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya jongkok.","Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya tinggi.","Jika kamu berminat untuk mencalonkan diri sebagai presiden, kamu harus mengalahkan kandidat dari Partai X yang elektabilitasnya rendah.",1
1077,rumahnya seluas gang sempit .,rumahnya luas .,rumahnya sempit .,1
423,Pastikan kamu mau hajar kiri untuk memastikan keuntunganmu bermain saham.,Pastikan kamu mau beli dengan harga tertinggi untuk memastikan keuntunganmu bermain saham.,Pastikan kamu mau jual dengan harga terendah untuk memastikan keuntunganmu bermain saham.,1
1090,Jam kerja di kantor ini seperti mesin waktu.,Jam kerja di kantor ini tidak kenal waktu.,Jam kerja di kantor ini teratur.,0
1066,Suasana kelas matematika seperti pesta ulang tahun.,Suasana kelas matematika ramai dan berisik .,Suasana kelas matematika sepi dan hening .,0
600,Kata-katanya membuatku merasa seperti sedang berlibur di Bali.,Kata-katanya membuatku merasa tenang.,Kata-katanya membuatku merasa gelisah.,0
897,Kesabaranmu bagaikan rambut bondol polwan.,Kesabaranmu panjang.,Kesabaranmu pendek.,1
1062,Dino dijuluki sebagai kepala udang.,Dino dijuluki sebagai orang bodoh.,Dino dijuluki sebagai orang pintar.,0
105,"Seperti membelah bolu, kerja di institusi kepolisian Indonesia.",Kerja menjadi Polisi di Indonesia itu beresiko.,Kerja menjadi Polisi di Indonesia itu mudah.,1
82,Mereka mengikuti lomba seolah siap memberikan seluruh darah dan keringat.,Tekad mereka besar.,Tekad mereka kecil.,0
822,Alis kakak seperti semut beriring.,Alis kakak tipis.,Alis kakak tebal.,0
941,Pekerjaan ini dapat kuselesaikan dengan bermandikan keringat.,Pekerjaan ini dapat kuselesaikan dengan mudah.,Pekerjaan ini dapat kuselesaikan dengan sulit.,1
10,Pekerjaan ayah semudah membalikkan telapak tangan.,Pekerjaan ayah sangat mudah.,Pekerjaan ayah sangat sulit.,0
404,Hidupku sangat unik bagaikan pelangi yang muncul setelah badai.,Hidupku sangat unik karena susah dahulu baru bahagia.,Hidupku sangat unik karena bahagia selalu tak pernah susah.,0
87,Tugas mahasiswa bagaikan bisa dihitung jari.,Tugas mahasiswa banyak.,Tugas mahasiswa sedikit.,1
784,Dia adalah orang yang sering naik darah.,Dia adalah orang yang suka marah.,Dia adalah orang sabar.,0
1009,Warna lipstik yang kau pakai bagai sepatu kaca di kaki raksasa.,Warna lipstick yang kau pakai pas dan cocok.,Warna lipstick yang kau pakai tidak cocok.,1
885,Menunggu season 2 seri ini bagai kedipan mata.,Menunggu season 2 seri ini lama sekali.,Menunggu season 2 seri ini cepat.,1
344,"Seusai persidangan itu selesai, terdakwa bersikap seolah baru turun dari masjid di hari raya Idul Fitri.","Seusai persidangan itu selesai, terdakwa bersikap meminta maaf.","Seusai persidangan itu selesai, terdakwa bersikap pongah.",0
928,Wajahnya bak sayuran yang baru dipetik dari kebun.,Wajahnya segar.,Wajahnya layu.,0
795,Rumahnya seperti istana raja.,"Rumahnya Kotor, berantakan.","Rumahnya bersih, rapi.",1
962,Masakan ibumu layaknya makanan yang dibawakan langsung dari surga.,Masakan ibumu luar biasa enak.,Masakan ibumu sangat tidak enak.,0
728,Gaya bicaranya seperti orator saat demo mahasiswa.,Bicaranya meyakinkan dan bersemangat.,Bicaranya tidak meyakinkan dan tidak bersemangat.,0
599,Dia menangkat galon seperti sedang sakit tipes.,Dia menangkat galon dengan mudah.,Dia menangkat galon dengan susah payah.,1
30,Memintanya membereskan kamar sama seperti menyuruh kucing terbang.,Perintah itu mustahil dilakukan.,Perintah itu selalu dilakukan.,0
444,Kecepatannya dalam menyerap materi seperti kura-kura berjalan.,Kecepatannya dalam menyerap materi sangat lambat.,Kecepatannya dalam menyerap materi sangat cepat.,0
1065,"Dalam tim sepak bolanya, Tino bagaikan bintang lapangan .","Dalam tim sepak bola, Tino pemain cadangan .","Dalam tim sepak bola, Tino pemain inti .",1
778,Dinda memiliki tubuh seperti lidi.,Tubuh Dinda Ramping dan kurus.,Tubuh Dinda  bulat dan gemuk.,0
427,Melihat bakso urat dengan kuah kaldu yang pekat membuatku memalingkan wajah.,Melihat bakso urat dengan kuah kaldu yang pekat membuatku tergiur.,Melihat bakso urat dengan kuah kaldu yang pekat membuatku tidak tertarik.,1
480,Dia punya spek hp kentang.,Dia punya spek hp sangat buruk.,Dia punya spek hp sangat bagus.,0
81,Dia berlagak seperti anak ayam yang baru menetas.,Dia bersikap seenaknya.,Dia bersikap hati-hati.,1
269,Diskusi hari ini menenangkan pikiran.,Diskusi hari ini membuat berpikir keras.,Diskusi hari ini membuat bersantai.,1
1048,Ucapan perempuan itu sungguh menyayat hati .,ucapan perempuan itu menyakitkan .,ucapan perempuan itu menyenangkan .,0
1073,Mega menerima hadiah tersebut dengan rendah hati.,Mega menerima hadiah tersebut dengan sombong.,Mega menerima hadiah tersebut dengan santun.,1
1098,Hamid dan Rahmat seperti Tom and Jerry .,Hamid dan Rahmat Suka bertengkar.,Hamid dan Rahmat akur.,0
911,Tas yang dia beli seharga uang parkir Indomaret.,Tas yang dia beli mahal.,Tas yang dia beli murah.,1
157,Bisnis orang tuanya ibarat bisnis yang menuju puncak.,Bisnisnya bangkrut.,Bisnisnya sukses.,1
646,Laptop baru Ani harganya seperti berlian.,Laptopnya mahal.,Laptopnya murah.,0
1028,Pacar kakakku ibarat buah yang belum siap dipetik.,Pacar kakakku terlalu muda.,Pacar kakakku terlalu tua.,0
669,Warna bajunya semerah abu.,Bajunya merah cerah.,Bajunya tidak berwarna merah.,1
202,Diam itu emas.,Diam itu membawa dampak positif.,Diam itu membawa dampak negatif.,0
721,Seminar kali ini rasanya seperti kumpul-kumpul di tongkrongan. .,Seminarnya sangat formal.,Seminarnya sangat informal.,1
381,Kontra pada saat rapat RT itu ibarat menyiramkan minyak di bara api.,Kontra pada saat rapat RT itu dikucilkan.,Kontra pada saat rapat RT itu banyak pendukungnya.,1
52,Cara bicaranya bak putri Solo.,Dia bicara dengan lemah lembut.,Dia bicara dengan kasar.,0
740,Pemuda itu bertingkah seperti anjing rabies.,Pemuda itu tidak bisa diatur.,Pemuda itu mudah diatur.,0
348,Sikap serakah itu ibarat meredakan haus dengan minum air lautan.,Sikap serakah itu membuat selalu merasa kurang.,Sikap serakah itu membuat cukup.,0
215,Hari ini cuacanya seperti berada di di puncak gunung Bromo.,Cuaca hari ini sangat panas.,Cuaca hari ini sangat dingin.,1
634,Dia mempresentasikan tugasnya seperti pemenang lomba pidato internasional.,Dia mempresentasikan tugasnya dengan yakin.,Dia mempresentasikan tugasnya dengan gelisah.,0
737,Antusiasmenya seperti mahasiswa yang menghadiri kuliah pagi setelah begadang.,Dia sangat bersemangat.,Dia tidak antusias.,1
160,Masuk ke perusahaan ini ibarat masuk mulut buaya.,Masuk ke perusahaan yang berbahaya.,Masuk ke perusahaan yang membuat aman& nyaman.,0
1021,Larinya secepat porter stasiun yang memikul dua koper besar.,Larinya cepat.,Larinya lambat.,1
1020,Larinya secepat pebalap F1.,Larinya cepat.,Larinya lambat.,0
555,Wajahnya terlihat seperti habis perawatan di klinik abal-abal.,Wajahnya terlihat rupawan.,Wajahnya terlihat jelek.,1
395,"Bagi saya, ibu adalah racun yang melenyapkan nyawa orang yang meminumnya.","Bagi saya, ibu adalah sosok yang baik.","Bagi saya, ibu adalah sosok yang jahat.",1
1087,Harga makanan di sini seharga makanan pinggir jalan .,harga makanan di sini mahal .,harga makanan di sini murah .,1
921,Seorang pelajar harus memiliki jiwa layaknya pasien rumah sakit.,Seorang pelajar harus memiliki jiwa tangguh.,Seorang pelajar harus memiliki jiwa rentan.,1
589,Dia menghadapi masalah seperti psikolog yang tersertifikasi.,Dia menghadapi masalah dengan sikap yang labil.,Dia menghadapi masalah dengan sikap yang bijak.,1
207,Tanah Pasundan diciptakan seakan Tuhan sedang marah.,Wilayah Pasundan amat indah.,Wilayah Pasundan amat jelek.,1
642,Mobil itu melaju seperti peluru.,Mobilnya cepat.,Mobilnya lambat.,0
752,"Zaman sekarang, mencari orang jujur bagai mencari jarum di tumpukan jerami.",Mencari orang jujur sulit.,Mencari orang jujur mudah.,0
712,Rumahnya seperti tidak pernah dibersihkan selama 100 hari.,Rumahnya sangat kotor.,Rumahnya sangat bersih.,0
1023,Adit diperlakukan seperti anak pungut.,Adit disayang.,Adit tidak disayang.,1
1045,Sifat Ara seperti ibu peri.,Sifat Ara jahat.,Sifat Ara baik.,1
1031,Wajahmu terlihat seperti orang yang baru mendapat lotre.,Wajahmu layu.,Wajahmu ceria.,1
661,Rumah itu sebesar lubang tikus.,Rumahnya luas.,Rumahnya sempit.,1
898,Alur cerita buku ini sedalam samudera Hindia.,Alur cerita buku ini dalam.,Alur cerita buku ini dangkal.,0
501,Baginya pekerjaan itu bagaikan menjentikkan jari.,Baginya pekerjaan itu sulit.,Baginya pekerjaan itu mudah.,1
